state,year,total_revenue,prop_tax,gen_sales_tax,select_sales_tax,income_tax,net_corp_income_tax,gift_death_tax,unemployment_tax
Montana,2011,"$10,300 ","$1,376 ",$0 ,$543 ,$814 ,$124 ,$0 ,$135 
Nebraska,2011,"$11,852 ","$1,625 ","$1,002 ",$326 ,$934 ,$84 ,$29 ,$124 
Nevada,2011,"$9,572 ","$1,128 ","$1,194 ",$870 ,$0 ,$0 ,$0 ,$130 
New Hampshire,2011,"$9,199 ","$2,544 ",$0 ,$677 ,$57 ,$392 ,$0 ,$154 
New Jersey,2011,"$11,855 ","$2,883 ",$917 ,$442 ,"$1,196 ",$250 ,$72 ,$296 
New Mexico,2011,"$11,660 ",$670 ,"$1,348 ",$374 ,$527 ,$110 ,$0 ,$145 
New York,2011,"$16,553 ","$2,334 ","$1,230 ",$657 ,"$2,272 ",$519 ,$62 ,$162 
North Carolina,2011,"$9,742 ",$928 ,$858 ,$415 ,"$1,024 ",$113 ,$3 ,$104 
North Dakota,2011,"$14,087 ","$1,121 ","$1,314 ",$599 ,$630 ,$234 ,$0 ,$122 
Ohio,2011,"$11,441 ","$1,155 ",$827 ,$435 ,"$1,144 ",$29 ,$22 ,$127 
Oklahoma,2011,"$9,380 ",$596 ,"$1,071 ",$331 ,$630 ,$93 ,$2 ,$85 
Oregon,2011,"$12,145 ","$1,322 ",$0 ,$378 ,"$1,419 ",$134 ,$20 ,$240 
Pennsylvania,2011,"$10,464 ","$1,310 ",$751 ,$655 ,"$1,093 ",$178 ,$61 ,$221 
Rhode Island,2011,"$12,024 ","$2,158 ",$768 ,$613 ,$969 ,$123 ,$16 ,$230 
South Carolina,2011,"$9,812 ","$1,031 ",$675 ,$331 ,$624 ,$46 ,$0 ,$103 
South Dakota,2011,"$10,271 ","$1,188 ","$1,340 ",$450 ,$0 ,$18 ,$0 ,$70 
Tennessee,2011,"$9,414 ",$805 ,"$1,278 ",$440 ,$30 ,$167 ,$18 ,$116 
Texas,2011,"$8,774 ","$1,561 ","$1,068 ",$537 ,$0 ,$0 ,$0 ,$99 
Utah,2011,"$9,002 ",$955 ,$877 ,$375 ,$815 ,$88 ,$0 ,$80 
Vermont,2011,"$12,028 ","$2,184 ",$532 ,$933 ,$883 ,$167 ,$57 ,$170 
Virginia,2011,"$9,435 ","$1,407 ",$552 ,$468 ,"$1,176 ",$98 ,$1 ,$83 
Washington,2011,"$11,469 ","$1,312 ","$1,901 ",$679 ,$0 ,$0 ,$18 ,$221 
West Virginia,2011,"$10,082 ",$770 ,$652 ,$752 ,$897 ,$165 ,$0 ,$117 
Wisconsin,2011,"$11,022 ","$1,760 ",$779 ,$487 ,"$1,125 ",$149 ,$0 ,$190 
Wyoming,2011,"$18,089 ","$2,171 ","$1,848 ",$284 ,$0 ,$0 ,$0 ,$200 
Alabama,2012,"$9,190 ",$528 ,$859 ,$553 ,$645 ,$85 ,$0 ,$106 
Alaska,2012,"$24,891 ","$2,080 ",$280 ,$456 ,$0 ,$907 ,$0 ,$283 
Arizona,2012,"$7,912 ","$1,051 ","$1,330 ",$328 ,$475 ,$100 ,$0 ,$66 
Arkansas,2012,"$7,865 ",$660 ,"$1,270 ",$464 ,$815 ,$137 ,$0 ,$149 
California,2012,"$10,534 ","$1,358 ","$1,079 ",$395 ,"$1,449 ",$209 ,$0 ,$163 
Colorado,2012,"$9,126 ","$1,343 ","$1,056 ",$413 ,$940 ,$95 ,$0 ,$160 
Connecticut,2012,"$11,113 ","$2,614 ","$1,043 ",$832 ,"$2,045 ",$173 ,$48 ,$240 
DC,2012,"$19,996 ","$2,975 ","$1,761 ",$681 ,"$2,362 ",$738 ,$163 ,$198 
Delaware,2012,"$10,665 ",$758 ,$0 ,$551 ,"$1,289 ",$292 ,$13 ,$136 
Florida,2012,"$7,684 ","$1,278 ","$1,102 ",$596 ,$0 ,$104 ,$0 ,$114 
Georgia,2012,"$7,187 ","$1,046 ",$925 ,$319 ,$822 ,$60 ,$0 ,$85 
Hawaii,2012,"$9,862 ",$933 ,"$2,056 ",$788 ,"$1,097 ",$57 ,$10 ,$226 
Idaho,2012,"$7,410 ",$871 ,$765 ,$292 ,$758 ,$118 ,$0 ,$206 
Illinois,2012,"$9,276 ","$1,973 ",$944 ,$672 ,"$1,200 ",$270 ,$18 ,$251 
Indiana,2012,"$7,886 ",$952 ,"$1,013 ",$536 ,$931 ,$121 ,$27 ,$123 
Iowa,2012,"$10,693 ","$1,473 ","$1,043 ",$436 ,"$1,014 ",$138 ,$26 ,$212 
Kansas,2012,"$8,237 ","$1,357 ","$1,285 ",$382 ,"$1,001 ",$110 ,$0 ,$150 
Kentucky,2012,"$7,978 ",$713 ,$695 ,$608 ,"$1,055 ",$157 ,$9 ,$116 
Louisiana,2012,"$9,119 ",$791 ,"$1,446 ",$524 ,$538 ,$63 ,$0 ,$54 
Maine,2012,"$8,971 ","$1,786 ",$800 ,$519 ,"$1,083 ",$174 ,$34 ,$134 
Maryland,2012,"$9,565 ","$1,516 ",$689 ,$652 ,"$1,941 ",$149 ,$33 ,$189 
Massachusetts,2012,"$10,989 ","$2,044 ",$759 ,$379 ,"$1,786 ",$299 ,$44 ,$289 
Michigan,2012,"$9,211 ","$1,338 ",$901 ,$403 ,$741 ,$81 ,$0 ,$194 
Minnesota,2012,"$10,455 ","$1,459 ",$939 ,$813 ,"$1,482 ",$198 ,$31 ,$250 
Mississippi,2012,"$8,972 ",$869 ,"$1,030 ",$479 ,$503 ,$133 ,$0 ,$94 
Missouri,2012,"$8,119 ",$952 ,$867 ,$396 ,$905 ,$63 ,$0 ,$114 
Montana,2012,"$9,147 ","$1,370 ",$0 ,$550 ,$895 ,$132 ,$0 ,$157 
Nebraska,2012,"$11,010 ","$1,602 ","$1,015 ",$322 ,$989 ,$126 ,$30 ,$110 
Nevada,2012,"$7,991 ","$1,028 ","$1,355 ",$880 ,$0 ,$0 ,$0 ,$179 
New Hampshire,2012,"$8,232 ","$2,581 ",$0 ,$660 ,$61 ,$393 ,$0 ,$174 
New Jersey,2012,"$10,587 ","$2,902 ",$907 ,$456 ,"$1,246 ",$216 ,$72 ,$330 
New Mexico,2012,"$9,592 ",$691 ,"$1,404 ",$398 ,$539 ,$132 ,$0 ,$103 
New York,2012,"$14,969 ","$2,408 ","$1,262 ",$665 ,"$2,435 ",$533 ,$55 ,$165 
North Carolina,2012,"$8,551 ",$915 ,$804 ,$437 ,"$1,068 ",$125 ,$6 ,$105 
North Dakota,2012,"$13,450 ","$1,115 ","$1,818 ",$698 ,$613 ,$306 ,$0 ,$138 
Ohio,2012,"$9,081 ","$1,171 ",$873 ,$438 ,"$1,164 ",$26 ,$24 ,$131 
Oklahoma,2012,"$8,519 ",$601 ,"$1,129 ",$377 ,$727 ,$117 ,$0 ,$142 
Oregon,2012,"$9,935 ","$1,295 ",$0 ,$454 ,"$1,494 ",$124 ,$26 ,$268 
Pennsylvania,2012,"$9,153 ","$1,330 ",$766 ,$668 ,"$1,117 ",$167 ,$63 ,$241 
Rhode Island,2012,"$10,712 ","$2,206 ",$798 ,$612 ,"$1,005 ",$128 ,$40 ,$240 
South Carolina,2012,"$8,414 ","$1,038 ",$702 ,$326 ,$659 ,$54 ,$0 ,$116 
South Dakota,2012,"$8,215 ","$1,210 ","$1,372 ",$467 ,$0 ,$72 ,$0 ,$60 
Tennessee,2012,"$8,376 ",$796 ,"$1,215 ",$449 ,$28 ,$173 ,$23 ,$120 
Texas,2012,"$8,138 ","$1,547 ","$1,345 ",$532 ,$0 ,$0 ,$0 ,$107 
Utah,2012,"$8,459 ",$953 ,$871 ,$409 ,$862 ,$90 ,$0 ,$121 
Vermont,2012,"$10,887 ","$2,142 ",$557 ,"$1,006 ",$949 ,$153 ,$21 ,$208 
Virginia,2012,"$8,230 ","$1,384 ",$567 ,$459 ,"$1,246 ",$102 ,$0 ,$95 
